optimizer,dataset,seed,min_sse,params
basin_hopping,lshade_3,3,137900.05229527,"[0.007815427375163385, 0.24174847886741088, 0.4984364613956893, 0.021306542298262336, 0.4999999978918675, 0.008529931206350285, 0.009915571160115856, 0.007152119544017138, 0.009919417347992732, 0.002721837602370545, 5e-05, 498812.7965350144, 9.323504266158647e-06, 373537.7558906852, 206650.06883989435, 43099.157622433195, 1e-05, 1e-08, 0.6869416260139346, 0.009743517341378781, 957178.3846522198]"
dual_annealing,lshade_2,2,45823.62760177,"[0.07038033455143093, 0.123633538099579, 0.0005003831604576303, 0.05305173537668756, 0.03452590569412494, 0.0008080468399381949, 0.0078552890559048, 0.01, 0.008137839115451396, 0.005967978864754532, 0.005576260366473322, 229832.14529256072, 1e-08, 603172.3697084554, 4629.659935724575, 949807.1371335518, 1e-05, 1e-08, 1.1310047678333288, 0.006363310528379354, 664050.294694494]"
basin_hopping,lshade_2,3,86186.50322081,"[0.020145061910833106, 0.49984880695309153, 0.3415052432328854, 0.0642577118265602, 0.34360679445641834, 0.0001, 0.004908118749644935, 0.009993962675961126, 0.00999594815144693, 0.002190200205745286, 5e-05, 477665.2989376863, 7.9391322295645e-07, 357580.6984400876, 198039.91675701988, 41377.36445736698, 1e-05, 2.91246005159619e-07, 0.5001557189451638, 0.009994882935333599, 915929.3738336315]"
cmaes,lshade_1,1,194493.11293292,"[0.4504486054927111, 0.2503601126698981, 0.3802513110605322, 0.02228238632599968, 0.4058799295843851, 0.009092120698165859, 0.008767762691862057, 0.005636662369935585, 0.0010152848070278209, 0.0007639041181313019, 5.000000518579654e-05, 272508.0854792448, 5.079618766428354e-06, 215977.53285486432, 734990.0069818947, 472615.3413020467, 9.32280023605992e-06, 7.894753191148581e-06, 0.5175693055762385, 0.0015651849398032793, 648947.7664781353]"
cmaes,basin_hopping_2,4,51931.58720724,"[0.38951044071791463, 0.496414253937618, 0.055079185587789625, 0.06763487621136333, 0.35518936186220185, 0.00010658861585855754, 0.002376166956394124, 0.005148962509221096, 0.00015955011640056223, 0.005682687757083635, 6.617645511952482e-05, 2406.876824265612, 2.8104437117344123e-07, 499666.7999123438, 5805.884120354479, 999998.8644073667, 9.676782114154459e-06, 6.85715599358621e-06, 0.8244149883364891, 0.009293956422698415, 36591.761419717724]"
dual_annealing,basin_hopping_1,8,399630.66104599,"[0.05529314603885291, 0.2882352596108199, 0.3105067764669191, 0.0471745430947614, 0.0009137122602600668, 0.0001, 0.01, 0.01, 0.01, 0.0001, 0.0004883795577470437, 170030.83006407844, 9.990472737418351e-06, 213689.48455955792, 409588.03880628257, 297.72982956966166, 1e-05, 1e-08, 2.5774154682265173, 0.01, 491084.4434667855]"
basin_hopping,dual_annealing_2,9,46057.44703223,"[0.005686633808323543, 0.00694551098721033, 0.3312118522822602, 0.00865119186715675, 0.00864813054183648, 0.00010034396163120873, 0.009999797263273021, 0.006936679478843124, 0.007902137449972165, 0.009999819562898879, 0.009430582840893265, 956574.0421793022, 9.663926496837148e-06, 446068.22115242464, 11240.923505458008, 476787.1926415283, 1e-05, 1.1371349275145565e-07, 3.0107776951596152, 0.009999772425679967, 813558.6804479423]"
basin_hopping,dual_annealing_3,3,84520.74559385,"[0.05400420249112288, 0.4995570185330262, 0.2908114644346723, 0.04618004364264961, 0.393433753507661, 0.0001, 0.007346059790042211, 0.01, 0.0068032375976666, 0.0012706965556401764, 5e-05, 498620.4346805812, 1e-05, 372847.4247276805, 205012.9413251992, 42361.14961436897, 1e-05, 6.03027102105415e-06, 0.5009230702668889, 0.0069978605272476395, 958754.1098699425]"
lshade,cmaes_2,1,129262.42488574,"[0.5, 0.28321235920347326, 0.180531136090284, 0.33253369468867044, 0.19976954900232796, 0.0024919950534986633, 0.006270215522715975, 0.009224011116026604, 0.01, 0.004088970439771046, 0.0024512455443469385, 100.0, 4.546087194996051e-06, 419444.19016007, 488110.7263937194, 994062.4376974691, 4.668758484551027e-06, 4.1625819168585465e-06, 2.2768872300079397, 0.009035085979621467, 100.0]"
cmaes,lshade_2,7,81695.90578904,"[0.0066568618793004745, 0.4559391607072845, 0.499638406143297, 0.4343975296796925, 0.2288210476906612, 0.0004806546834523981, 0.0002224701238933286, 0.009996969201700274, 0.009989652853698263, 0.0001000001691360946, 0.0024019791543937194, 18931.026355709102, 5.203749271143059e-06, 822552.9066333991, 647101.2983968004, 10017.83151825201, 9.999896652865338e-06, 9.382920906873083e-06, 1.3371831739135656, 0.009996512550193227, 393369.7804795762]"
lshade,pso_2,7,35443.29440867,"[0.458761192901668, 0.17994140568053502, 0.08090655659965242, 0.03567696082598101, 0.21921878601768222, 0.007082227008325769, 0.0056745752877437996, 0.00028414571070807206, 0.01, 0.01, 5e-05, 543770.2821471337, 4.17915274716372e-06, 574666.6701128583, 381494.1688845565, 688539.501975444, 4.905652751370291e-06, 1.372114490866498e-06, 0.937725640222496, 0.01, 320806.86392049544]"
dual_annealing,pso_1,8,1060339.01291443,"[0.417907956203265, 0.29100979265336185, 0.28868328613027294, 0.050750480607141046, 0.003514420526399315, 0.00595958728303954, 0.0019654341042798667, 5.0206905278440095e-05, 0.004945560826990216, 0.0001, 0.0013417888451842709, 336456.9125510492, 9.894625864014157e-06, 238068.0434473525, 398313.84582968015, 6300.722448287073, 1.0000000074785863e-08, 1.8865717824770322e-06, 2.6029744650691753, 0.007464555760757007, 453136.9769903523]"
lshade,dual_annealing_1,9,52649.39739985,"[0.37683778371856214, 0.2894294836932464, 0.06643445629352658, 0.050912130854830824, 0.07184200134485327, 0.0020116431025959834, 0.005062074117366547, 0.003489237042861281, 0.005695364070135753, 0.0019165336098969042, 0.005743731569958266, 474880.9858142006, 3.40773682093583e-06, 745031.1954821487, 575514.609270299, 199005.1315907218, 9.647967715814011e-06, 5.7853097812305e-06, 0.5, 0.007636849777650149, 100.0]"
dual_annealing,lshade_2,5,768370.87872489,"[0.04379385757197855, 0.258793097153674, 0.44505897690689994, 0.2140908754858388, 0.22401924849033508, 0.009999178817529394, 0.0001, 5e-05, 0.00010014212278629596, 0.0001, 0.00019967953914036606, 140168.30388727144, 7.93937072918626e-06, 952810.6409068998, 983063.5047137993, 302505.18128114514, 1e-08, 9.235603591722758e-06, 0.500000016480254, 0.00010261957933370698, 628195.5326827464]"
basin_hopping,lshade_3,5,53849.13845207,"[0.3230161414351016, 0.004653071490778191, 0.0475801635034859, 0.25550543191844904, 0.13052604552473202, 0.003197971669153745, 0.0006520199848006052, 0.0024962176292154204, 0.009709797612495033, 0.003917681289652815, 0.003913263469280952, 323.9655280907372, 1.344681349404153e-06, 999999.8871816639, 268.94426614886584, 242.51248018290306, 9.990000000000001e-06, 9.488563126758594e-06, 1.8208944921505745, 0.007266112894091826, 999880.774162845]"
dual_annealing,lshade_3,3,140233.53917522,"[0.05722240161006093, 0.05384761789585575, 0.49117229498379056, 0.09913227126252448, 0.04998239461687308, 0.0001, 0.0001, 0.009996469129050813, 0.0006407004198483024, 0.0001, 0.0011111932793917297, 49827.53950266806, 8.401438672358248e-06, 956576.1195879799, 642700.4920441409, 163322.6997879387, 1e-05, 1e-05, 0.9718318896984471, 0.007264804750915343, 373141.58062424744]"
basin_hopping,dual_annealing_1,9,211954.41843252,"[0.0017463615894299097, 0.10265422672142456, 0.13329707886300676, 0.014773334096461494, 0.014773397206296689, 0.00042571555796180963, 0.0003175362793303825, 0.00025548079857635884, 0.0003640529691621168, 0.00982482714827431, 5e-05, 956423.3949409729, 6.151305868452652e-06, 444382.97397227987, 11272.963383946819, 475158.3212500635, 1e-05, 9.444012700619056e-06, 2.458287525245986, 0.00016940650109657123, 812868.5065003039]"
lshade,dual_annealing_2,4,39108.66255323,"[0.3849006749661364, 0.1752510562220208, 0.23544181011464976, 0.0009369277175329503, 0.4094191594669615, 0.004573758307248716, 0.004778824843532156, 0.00958098577063377, 0.008673105528139994, 0.0020020973300789342, 0.004723037880751921, 465639.4949196344, 4.566651209678193e-06, 488243.12455932895, 255137.86759032583, 197529.778703159, 6.385852694034276e-06, 6.157727803055997e-06, 1.4000199299931981, 0.004612477396014801, 100.0]"
basin_hopping,cmaes_1,6,247564.90373929,"[0.40599396973758783, 0.40599395713428205, 0.005628053930249373, 0.2980145422118574, 0.0005388518308484657, 0.0008272906955294781, 0.0019695512017966826, 0.0019314451558845693, 0.009568796588441668, 0.0043569946634292684, 5e-05, 170633.8813312864, 9.819312300230085e-06, 33056.495615011496, 193692.92733698088, 233312.4676830189, 1e-05, 5.400586699438101e-06, 1.487423458634532, 0.009545447841951358, 374782.6033712148]"
basin_hopping,cmaes_3,9,116238.86379472,"[0.46227673692401133, 0.0005441321494257147, 0.06977375380771117, 0.0042158657896064124, 0.004178619578794594, 0.00999974903895943, 0.009999263270919484, 0.01, 0.009999208372746681, 0.0027342007538646287, 0.0026352417782342956, 956541.8381475686, 9.823978547568363e-06, 445391.6211278028, 11227.276257841995, 476197.0539051545, 1e-05, 1e-08, 2.5010016902330583, 0.009997954043326722, 813220.7668800282]"
